"Table 3: Estimated population by sex, five year age group and administrative area, mid-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area1,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000033,Aberdeen City,"113,252",,"6,043","5,886","4,971","5,077","8,686","12,323","10,880","9,078","7,195","7,044","7,105","6,928","6,257","5,202","4,156","2,789","2,062","1,104",466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000034,Aberdeenshire,"130,179",,"7,443","8,291","7,969","7,270","6,997","6,833","7,402","8,429","8,483","9,777","10,078","9,417","8,502","7,567","6,643","4,226","2,820","1,416",616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000041,Angus,"56,537",,"2,931","3,063","3,193","3,244","3,214","3,013","2,911","3,261","2,996","3,921","4,346","4,311","3,739","3,777","3,512","2,311","1,569",880,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000035,Argyll and Bute,"42,916",,"1,872","2,140","2,243","2,315","2,926","2,359","1,960","2,120","2,294","2,700","3,346","3,438","3,185","3,107","2,829","1,938","1,251",667,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000036,City of Edinburgh,"252,989",,"12,994","13,381","11,748","12,330","20,819","26,698","23,849","20,404","16,714","16,251","16,157","14,900","12,618","10,841","9,084","5,907","4,538","2,563","1,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000005,Clackmannanshire,"25,225",,"1,391","1,466","1,475","1,460","1,553","1,371","1,422","1,444","1,484","1,900","2,045","1,930","1,554","1,580","1,362",833,584,256,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000006,Dumfries and Galloway,"72,321",,"3,317","3,826","3,998","3,830","3,946","3,658","3,644","3,411","3,438","4,719","5,714","5,779","5,344","5,382","4,845","3,403","2,365","1,220",482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000042,Dundee City,"71,782",,"3,855","4,145","3,637","4,015","6,499","7,266","5,780","4,348","3,568","4,190","4,532","4,611","4,040","3,372","3,084","2,098","1,529",863,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000008,East Ayrshire,"59,105",,"3,313","3,569","3,381","3,132","3,653","3,556","3,422","3,446","3,276","4,253","4,633","4,398","3,872","3,601","3,204","2,077","1,405",653,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000045,East Dunbartonshire,"52,468",,"2,905","3,241","3,214","3,096","3,207","3,032","2,507","2,729","2,816","3,549","3,983","4,014","3,498","3,119","2,842","1,940","1,594",854,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
